element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
C,3,"=""2943.397""","=""1.85e+04""","=""4.00e-05""",C,"=""40.056428""","=""44.268711""","=""1s2.2p.(2P*).3p""","=""3D""","=""1""","=""1s2.2s.6p""","=""3P*""","=""2""",,
C,3,"=""2943.489""","=""4.61e+05""","=""5.99e-04""",B,"=""40.056428""","=""44.268579""","=""1s2.2p.(2P*).3p""","=""3D""","=""1""","=""1s2.2s.6p""","=""3P*""","=""1""",,
C,3,"=""2943.557""","=""1.85e+06""","=""8.01e-04""",B,"=""40.056428""","=""44.268481""","=""1s2.2p.(2P*).3p""","=""3D""","=""1""","=""1s2.2s.6p""","=""3P*""","=""0""",,
C,3,"=""2945.519""","=""2.76e+05""","=""3.59e-04""",B,"=""40.059463""","=""44.268711""","=""1s2.2p.(2P*).3p""","=""3D""","=""2""","=""1s2.2s.6p""","=""3P*""","=""2""",,
C,3,"=""2945.611""","=""1.38e+06""","=""1.08e-03""",B,"=""40.059463""","=""44.268579""","=""1s2.2p.(2P*).3p""","=""3D""","=""2""","=""1s2.2s.6p""","=""3P*""","=""1""",,
C,3,"=""2948.904""","=""1.54e+06""","=""1.43e-03""",B,"=""40.064295""","=""44.268711""","=""1s2.2p.(2P*).3p""","=""3D""","=""3""","=""1s2.2s.6p""","=""3P*""","=""2""",,
C,4,"=""2954.19""","=""2.58e+07""","=""3.38e-02""",A,"=""55.65103""","=""59.84792""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",,
C,4,"=""2954.81""","=""5.17e+07""","=""3.38e-02""",A,"=""55.65191""","=""59.84792""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",,
C,5,"=""2963.16""","=""5.541e+07""","=""4.371e-02""",AA,"=""(378.4834)""","=""(382.66757)""","=""1s.5d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",,
C,1,"=""2965.7130""","=""9.e+00""","=""1.9e-08""",D,"=""0.0020354130""","=""4.1826219""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p3""","=""5S*""","=""2""",,
C,2,"=""2967.052""","=""2.66e+07""","=""7.01e-02""",B,"=""23.114048""","=""27.292748""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""3/2""",,
C,2,"=""2967.521""","=""5.27e+07""","=""6.96e-02""",B,"=""23.114048""","=""27.292087""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""1/2""",,
C,2,"=""2967.737""","=""4.44e+07""","=""8.80e-02""",B,"=""23.116074""","=""27.293810""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""5/2""",,
C,1,"=""2968.0894""","=""2.1e+01""","=""2.8e-08""",D,"=""0.0053825826""","=""4.1826219""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p3""","=""5S*""","=""2""",,
C,2,"=""2968.491""","=""3.39e+07""","=""4.48e-02""",B,"=""23.116074""","=""27.292748""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""3/2""",,
C,2,"=""2968.726""","=""6.34e+07""","=""1.12e-01""",B,"=""23.118841""","=""27.295185""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""7/2""",,
