element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
He,1,"=""20607.86525""","=""2.8924e+05""","=""5.5246e-02""",AAA,"=""[23.7079060221]""","=""[24.309541353601]""","=""1s.4p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",,
He,1,"=""20681.41261""","=""1.3064e+00""","=""1.6754e-08""",AAA,"=""[23.07407479777]""","=""[23.673570590]""","=""1s.3d""","=""1D""","=""2""","=""1s.4s""","=""1S""","=""0""",E2,
He,1,"=""21125.78761""","=""3.6179e+06""","=""1.4524e-01""",AAA,"=""[23.00707314571]""","=""[23.593958713]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",,
He,1,"=""21125.88575""","=""2.1707e+06""","=""1.4524e-01""",AAA,"=""[23.0070758719]""","=""[23.593958713]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",,
He,1,"=""21127.09392""","=""7.2358e+05""","=""1.4526e-01""",AAA,"=""[23.0071094335]""","=""[23.593958713]""","=""1s.3p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",,
He,1,"=""21137.79948""","=""4.5925e+06""","=""1.0254e-01""",AAA,"=""[23.08701852960]""","=""[23.673570590]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",,
He,1,"=""21499.84645""","=""3.0673e+05""","=""1.2754e-02""",AAA,"=""[23.7078912279]""","=""[24.2845660369]""","=""1s.4p""","=""3P*""","=""2""","=""1s.7s""","=""3S""","=""1""",,
He,1,"=""21499.88803""","=""1.8404e+05""","=""1.2754e-02""",AAA,"=""[23.7078923433]""","=""[24.2845660369]""","=""1s.4p""","=""3P*""","=""1""","=""1s.7s""","=""3S""","=""1""",,
He,1,"=""21500.39802""","=""6.1346e+04""","=""1.2754e-02""",AAA,"=""[23.7079060221]""","=""[24.2845660369]""","=""1s.4p""","=""3P*""","=""0""","=""1s.7s""","=""3S""","=""1""",,
He,1,"=""21586.002038""","=""4.6870e+04""","=""1.9645e-03""",AAA,"=""[23.73633503536]""","=""[24.31070817873]""","=""1s.4d""","=""1D""","=""2""","=""1s.7p""","=""1P*""","=""1""",,
He,1,"=""21613.6765291""","=""2.038e+04""","=""1.427e-03""",AA,"=""[23.73609019010]""","=""[24.3097278970701]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""1F*""","=""3""",,
He,1,"=""21613.6821382""","=""1.562e+05""","=""1.532e-02""",AA,"=""[23.73609033897]""","=""[24.3097278970701]""","=""1s.4d""","=""3D""","=""2""","=""1s.7f""","=""1F*""","=""3""",,
He,1,"=""21613.6874370""","=""3.2808e+03""","=""1.6412e-04""",AAA,"=""[23.73609019010]""","=""[24.3097276075680]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""2""",,
He,1,"=""21613.6930461""","=""1.1481e+05""","=""8.0407e-03""",AAA,"=""[23.73609033897]""","=""[24.3097276075680]""","=""1s.4d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""2""",,
He,1,"=""21613.6949417""","=""7.3817e+05""","=""6.6468e-02""",AAA,"=""[23.73609019010]""","=""[24.3097274083893]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""4""",,
He,1,"=""21613.6993587""","=""6.1644e+04""","=""4.3172e-03""",AAA,"=""[23.73609019010]""","=""[24.3097272911601]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""3""",,
He,1,"=""21613.7049678""","=""4.9996e+05""","=""4.9021e-02""",AAA,"=""[23.73609033897]""","=""[24.3097272911601]""","=""1s.4d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""3""",,
He,1,"=""21613.7795597""","=""6.2007e+05""","=""7.2378e-02""",AAA,"=""[23.73609263507]""","=""[24.3097276075680]""","=""1s.4d""","=""3D""","=""1""","=""1s.7f""","=""3F*""","=""2""",,
He,1,"=""21622.9058144""","=""5.6085e+05""","=""5.5038e-02""",AAA,"=""[23.73633503536]""","=""[24.3097278970701]""","=""1s.4d""","=""1D""","=""2""","=""1s.7f""","=""1F*""","=""3""",,
He,1,"=""21622.9167316""","=""1.489e+01""","=""1.044e-06""",AA,"=""[23.73633503536]""","=""[24.3097276075680]""","=""1s.4d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""2""",,
He,1,"=""21622.9286635""","=""1.763e+05""","=""1.730e-02""",AA,"=""[23.73633503536]""","=""[24.3097272911601]""","=""1s.4d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""3""",,
He,1,"=""21647.3769234""","=""6.364e+03""","=""5.749e-04""",AA,"=""[23.737006806968]""","=""[24.3097514811699]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7g""","=""1G""","=""4""",,
He,1,"=""21647.3798267""","=""3.3014e+04""","=""2.3193e-03""",AAA,"=""[23.737006806968]""","=""[24.3097514043543]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7g""","=""3G""","=""3""",,
He,1,"=""21647.3888514""","=""6.1488e+05""","=""5.5540e-02""",AAA,"=""[23.737006806968]""","=""[24.3097511655788]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7g""","=""3G""","=""4""",,
He,1,"=""21647.4103809""","=""1.942e+04""","=""1.364e-03""",AA,"=""[23.737007692183]""","=""[24.3097514811699]""","=""1s.4f""","=""3F*""","=""4""","=""1s.7g""","=""1G""","=""4""",,
He,1,"=""21647.4132843""","=""8.2516e+02""","=""4.5088e-05""",AAA,"=""[23.737007692183]""","=""[24.3097514043543]""","=""1s.4f""","=""3F*""","=""4""","=""1s.7g""","=""3G""","=""3""",,
He,1,"=""21647.4175852""","=""6.4692e+05""","=""5.5548e-02""",AAA,"=""[23.737007692183]""","=""[24.3097512905603]""","=""1s.4f""","=""3F*""","=""4""","=""1s.7g""","=""3G""","=""5""",,
He,1,"=""21647.4223090""","=""2.1016e+04""","=""1.4765e-03""",AAA,"=""[23.737007692183]""","=""[24.3097511655788]""","=""1s.4f""","=""3F*""","=""4""","=""1s.7g""","=""3G""","=""4""",,
He,1,"=""21647.4536709""","=""5.9411e+05""","=""5.8434e-02""",AAA,"=""[23.737008760725]""","=""[24.3097514043543]""","=""1s.4f""","=""3F*""","=""2""","=""1s.7g""","=""3G""","=""3""",,
He,1,"=""21647.4871035""","=""6.2114e+05""","=""5.6106e-02""",AAA,"=""[23.737009722091]""","=""[24.3097514811699]""","=""1s.4f""","=""1F*""","=""3""","=""1s.7g""","=""1G""","=""4""",,
He,1,"=""21647.4900069""","=""1.897e+04""","=""1.333e-03""",AA,"=""[23.737009722091]""","=""[24.3097514043543]""","=""1s.4f""","=""1F*""","=""3""","=""1s.7g""","=""3G""","=""3""",,
He,1,"=""21647.4990317""","=""1.103e+04""","=""9.959e-04""",AA,"=""[23.737009722091]""","=""[24.3097511655788]""","=""1s.4f""","=""1F*""","=""3""","=""1s.7g""","=""3G""","=""4""",,
He,1,"=""21653.2028277""","=""4.095e+03""","=""2.056e-04""",AA,"=""[23.737006806968]""","=""[24.309597381304]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7d""","=""1D""","=""2""",,
