element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
O,4,"=""285.7103""","=""1.97e+10""","=""2.41e-01""",B,"=""20.37884""","=""63.77391""","=""2s.2p2""","=""2S""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",,
O,4,"=""285.8335""","=""1.97e+10""","=""4.83e-01""",B,"=""20.37884""","=""63.75520""","=""2s.2p2""","=""2S""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",,
O,5,"=""286.4480""","=""2.28e+09""","=""1.68e-02""",B,"=""28.72979""","=""72.01311""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.3p""","=""1P*""","=""1""",,
O,4,"=""289.292""","=""4.90e+09""","=""9.22e-02""",B,"=""28.70699""","=""71.5648""","=""2p3""","=""4S*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""5/2""",,
O,4,"=""289.470""","=""4.89e+09""","=""6.14e-02""",B,"=""28.70699""","=""71.5385""","=""2p3""","=""4S*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",,
O,4,"=""289.590""","=""4.89e+09""","=""3.07e-02""",B,"=""28.70699""","=""71.5207""","=""2p3""","=""4S*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""1/2""",,
O,4,"=""289.897""","=""4.82e+09""","=""6.07e-02""",B,"=""31.63530""","=""74.4037""","=""2p3""","=""2D*""","=""5/2""","=""2p2.(1D).3s""","=""2D""","=""5/2""",,
O,4,"=""289.909""","=""5.16e+08""","=""4.33e-03""",B,"=""31.63530""","=""74.4019""","=""2p3""","=""2D*""","=""5/2""","=""2p2.(1D).3s""","=""2D""","=""3/2""",,
O,4,"=""289.921""","=""3.44e+08""","=""6.50e-03""",B,"=""31.63890""","=""74.4037""","=""2p3""","=""2D*""","=""3/2""","=""2p2.(1D).3s""","=""2D""","=""5/2""",,
O,4,"=""289.933""","=""4.64e+09""","=""5.85e-02""",B,"=""31.63890""","=""74.4019""","=""2p3""","=""2D*""","=""3/2""","=""2p2.(1D).3s""","=""2D""","=""3/2""",,
